2025-09-16 16:32:26.315 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
2025-09-16 16:32:26.846 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.6 with PID 50208 (C:\Users\iit\Desktop\project\demo\out\production\classes started by iit in C:\Users\iit\Desktop\project\demo)
2025-09-16 16:32:26.849 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-16 16:32:26.850 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-16 16:32:27.566 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo]' package. Please check your configuration.
2025-09-16 16:32:27.843 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-16 16:32:27.858 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 16:32:27.859 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 16:32:27.860 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-16 16:32:27.904 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-16 16:32:27.904 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 995 ms
2025-09-16 16:32:28.410 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-16 16:32:28.432 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-16 16:32:28.443 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.03 seconds (process running for 3.842)
2025-09-16 16:32:28.446 [main] INFO  com.example.demo.DemoApplication - SuccessOpenApplication!!!
2025-09-16 16:32:44.726 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-16 16:32:44.731 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-16 16:32:49.732 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
